PRODUCT,SOURCE CITY,DESTINATION PINCODE,CITY,STATE,DEST. REGION,ZONE,TAT,PREPAID,COD,REVERSE PICKUP,FORWARD PICKUP,DESTINATION CATEGORY,PUDO SERVICEABLE,B2C_COD_SERVICEABLE
SMART_EXPRESS,NOIDA,110118,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110119,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110120,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110121,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110122,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110124,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110125,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110301,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110302,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110401,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110402,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110403,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110501,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110502,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110503,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110504,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110505,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110506,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110507,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110508,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110509,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110510,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110511,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110512,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110601,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110602,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110603,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110604,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110605,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110606,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110607,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110608,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110609,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,111105,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,111112,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,111114,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,111120,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,111121,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,116019,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,120001,GURGAON,HARYANA,GGR REGIONAL OFFICE,NORTH,3,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,120002,GURGAON,HARYANA,GGR REGIONAL OFFICE,NORTH,3,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,121000,FARIDABAD,HARYANA,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,121001,FARIDABAD,HARYANA,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,121002,FARIDABAD,HARYANA,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,121003,FARIDABAD,HARYANA,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,121004,BALLABGARH,HARYANA,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,121005,BALLABGARH,HARYANA,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,121006,BALLABGARH,HARYANA,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
